"gene_symbol","f_stat","p_value","padj","is_significant","fraction"
"Mak16",0.561765110341457,0.72818310330352,0.76828837113083,FALSE,"Cellular"
"Igkv5.43",0.556970843916813,0.731680060962869,0.771533750512822,FALSE,"Cellular"
"Ctr9",0.556971117519506,0.731679861386131,0.771533750512822,FALSE,"Cellular"
"Mepce",0.556979224097996,0.731673948124173,0.771533750512822,FALSE,"Cellular"
"B4galt1",0.556057857792324,0.732346033264834,0.772087917716214,FALSE,"Cellular"
"Naa40",0.553383583995422,0.734296791214122,0.773847758883504,FALSE,"Cellular"
"Dst",0.553504772895647,0.73420838933469,0.773847758883504,FALSE,"Cellular"
"Nme6",0.549986803511423,0.73677456074936,0.776310183020311,FALSE,"Cellular"
"Lsm14a",0.547663521885221,0.73846919534505,0.777946663346826,FALSE,"Cellular"
"Med22",0.546561146929186,0.739273247999867,0.778644505268825,FALSE,"Cellular"
"Ints5",0.543643129511432,0.741401447540455,0.780736479329137,FALSE,"Cellular"
"Atf7ip",0.538945574913206,0.744826886822364,0.784193455333082,FALSE,"Cellular"
"Zzef1",0.538293166591377,0.745302542820033,0.784544013100621,FALSE,"Cellular"
"Rnpc3",0.537792443970781,0.745667593479319,0.784778030043892,FALSE,"Cellular"
"Agap3",0.537533906245579,0.745856074630097,0.784826162357181,FALSE,"Cellular"
"Ankrd28",0.536519614201807,0.746595486240306,0.785453881237888,FALSE,"Cellular"
"Cdc23",0.534452051350419,0.748102538150926,0.78688879945548,FALSE,"Cellular"
"Hnrnpc",0.533845890185808,0.74854431972073,0.787202882521916,FALSE,"Cellular"
"Nmt2",0.532089184568629,0.749824498688176,0.788398373262113,FALSE,"Cellular"
"Bcr",0.531814433790958,0.750024700356591,0.788458088443698,FALSE,"Cellular"
"Ifi211",0.531569474326164,0.750203189412645,0.788494959929405,FALSE,"Cellular"
"Ftdc2",0.530019842314825,0.751332218975211,0.789379808890829,FALSE,"Cellular"
"Pank1",0.53011887032384,0.751260074832126,0.789379808890829,FALSE,"Cellular"
"Trmt61a",0.529324141413354,0.751839030533446,0.789761366043731,FALSE,"Cellular"
"Gbp6",0.526329302066024,0.754020272928468,0.791447777884825,FALSE,"Cellular"
"Rpl18a",0.526406842956723,0.753963807383945,0.791447777884825,FALSE,"Cellular"
"Kif2c",0.526499042838625,0.753896666386575,0.791447777884825,FALSE,"Cellular"
"Commd4",0.526830476335345,0.753655306302692,0.791447777884825,FALSE,"Cellular"
"Fhod1",0.524988840058229,0.754996312258562,0.792321001106618,FALSE,"Cellular"
"Robo2",0.524730790723888,0.755184187515637,0.792366920412399,FALSE,"Cellular"
"Trim24",0.524520432623756,0.755337335862683,0.792376392400883,FALSE,"Cellular"
"Psmd4",0.524104467151981,0.755640160876056,0.792495215866223,FALSE,"Cellular"
"Fbxo22",0.523968846129269,0.755738889921173,0.792495215866223,FALSE,"Cellular"
"Txlng",0.523364132447472,0.756179085025784,0.792805608213531,FALSE,"Cellular"
"Pyroxd2",0.523123100127932,0.756354531515396,0.792838363064184,FALSE,"Cellular"
"Rps6kb1",0.521566827083077,0.757487188402545,0.793874296957147,FALSE,"Cellular"
"Ppip5k2",0.519303732375436,0.759133791512766,0.795448367779148,FALSE,"Cellular"
"Ahcyl1",0.518173028592437,0.75995625503388,0.796158439439076,FALSE,"Cellular"
"Rpp30",0.515694442814284,0.761758600627442,0.797804994644076,FALSE,"Cellular"
"Wdr44",0.515612523668412,0.761818156035176,0.797804994644076,FALSE,"Cellular"
"Hdgfl3",0.515397592983413,0.761974406927168,0.797816661452213,FALSE,"Cellular"
"Mrpl13",0.514216804919431,0.762832709154773,0.7985632587458,FALSE,"Cellular"
"Kif22",0.511783721324267,0.764600682353131,0.800261669822485,FALSE,"Cellular"
"Sltm",0.511078936263256,0.765112647405819,0.800645096200456,FALSE,"Cellular"
"Zar1",0.509847581300178,0.766006941559581,0.801428385289168,FALSE,"Cellular"
"Brk1",0.5094144624032,0.766321447170733,0.801452409462562,FALSE,"Cellular"
"Ndel1",0.509612953000668,0.766177318500255,0.801452409462562,FALSE,"Cellular"
"Mblac1",0.508847145325829,0.766733355598157,0.801730694005071,FALSE,"Cellular"
"Wdr55",0.505390406539154,0.769242049707753,0.804200948715198,FALSE,"Cellular"
"Cdca8",0.502573002284144,0.771285253867325,0.806030474389385,FALSE,"Cellular"
"Nsun4",0.502606208008091,0.771261181021689,0.806030474389385,FALSE,"Cellular"
"Myo5a",0.501929076452095,0.771752035100315,0.806365011208957,FALSE,"Cellular"
"Phip",0.500365973112724,0.772884808093722,0.807349037546123,FALSE,"Cellular"
"Tes",0.500224223390005,0.772987510666204,0.807349037546123,FALSE,"Cellular"
"Smc6",0.497365765065499,0.775057730413966,0.809357531209114,FALSE,"Cellular"
"Pex16",0.496612192760352,0.775603229419738,0.809619623191517,FALSE,"Cellular"
"Chd1l",0.496786677383438,0.775476933058043,0.809619623191517,FALSE,"Cellular"
"Igf2bp1",0.496070817431674,0.775995050740513,0.809874865028728,FALSE,"Cellular"
"Mrpl48",0.49485360557848,0.776875787508015,0.810640174552869,FALSE,"Cellular"
"Pacs1",0.49217566531911,0.778812347539332,0.812506695782021,FALSE,"Cellular"
"Gramd4",0.489541096143757,0.780715986958806,0.814338170422978,FALSE,"Cellular"
"Sox5",0.488777257788897,0.781267608133594,0.814758973732644,FALSE,"Cellular"
"Cadm1",0.488309816932979,0.781605112033905,0.814956363732678,FALSE,"Cellular"
"Heatr1",0.48802305821439,0.7818121332154,0.815017654231754,FALSE,"Cellular"
"Ep400",0.487179264059215,0.782421183289625,0.815497946109262,FALSE,"Cellular"
"Pard3",0.485984073577355,0.783283574536218,0.816242057012912,FALSE,"Cellular"
"Srp72",0.483859424150521,0.784815739847773,0.81756675763021,FALSE,"Cellular"
"Sec24c",0.48380885792738,0.784852191118998,0.81756675763021,FALSE,"Cellular"
"Pex1",0.482069013850245,0.786105975154033,0.818717683537956,FALSE,"Cellular"
