"gene_symbol","f_stat","p_value","padj","is_significant","fraction"
"Mdh2",15.1169319356544,9.5473074941254e-07,4.02734631076808e-06,TRUE,"Insoluble"
"Gcfc2",15.1124437251209,9.57223775440566e-07,4.0355684169142e-06,TRUE,"Insoluble"
"Rbm25",15.1088094829496,9.59247617797842e-07,4.04180427260647e-06,TRUE,"Insoluble"
"Dhfr",15.1052198087963,9.61251188118957e-07,4.04794768209005e-06,TRUE,"Insoluble"
"Dhodh",15.1042276946603,9.61805733436801e-07,4.0479855598985e-06,TRUE,"Insoluble"
"Mrpl28",15.0998137161913,9.64277141118663e-07,4.05608638724517e-06,TRUE,"Insoluble"
"Hp1bp3",15.0926562354293,9.68299269646744e-07,4.07069721290586e-06,TRUE,"Insoluble"
"Eef1b",15.0896941941131,9.69969090220487e-07,4.07496867206726e-06,TRUE,"Insoluble"
"Eif4g2",15.0889064478583,9.70413698590681e-07,4.07496867206726e-06,TRUE,"Insoluble"
"Cdv3",15.0865209020223,9.71761459843612e-07,4.07832015386855e-06,TRUE,"Insoluble"
"Gna14",15.0806861887774,9.75066441251887e-07,4.08987732848445e-06,TRUE,"Insoluble"
"Bin1",15.0615217299043,9.86007731109775e-07,4.12781142245887e-06,TRUE,"Insoluble"
"Pphln1",15.0609511182684,9.86335532617193e-07,4.12781142245887e-06,TRUE,"Insoluble"
"Cul1",15.0610559528269,9.86275299053541e-07,4.12781142245887e-06,TRUE,"Insoluble"
"Kit",15.0631497446755,9.85073127000311e-07,4.12781142245887e-06,TRUE,"Insoluble"
"Cfap20",15.0597950341514,9.87000034420549e-07,4.12826395456622e-06,TRUE,"Insoluble"
"Sigmar1",15.0536112458625,9.90562630814924e-07,4.14083082853337e-06,TRUE,"Insoluble"
"Nol11",15.035885933444,1.0008518632059e-06,4.18148695100663e-06,TRUE,"Insoluble"
"Acbd5",15.0226572735542,1.00860623334283e-06,4.21151280326606e-06,TRUE,"Insoluble"
"Arl8b",15.0106605845153,1.01569468940435e-06,4.23872586916776e-06,TRUE,"Insoluble"
"Hspa8",14.9697103540777,1.04029991495066e-06,4.33896872902413e-06,TRUE,"Insoluble"
"Serpinh1",14.9620145802531,1.04499558084498e-06,4.35610517408411e-06,TRUE,"Insoluble"
"Atp5mf",14.9585709887292,1.04710415258389e-06,4.36244402704801e-06,TRUE,"Insoluble"
"Ldhc",14.9506815590205,1.05195236950212e-06,4.38018326695046e-06,TRUE,"Insoluble"
"Cfh",14.94731028947,1.05403148812382e-06,4.38637893543397e-06,TRUE,"Insoluble"
"Atp8a1",14.9414437323566,1.05766010356956e-06,4.39901231417384e-06,TRUE,"Insoluble"
"Selenop",14.9338136503394,1.06239974490046e-06,4.4162499199784e-06,TRUE,"Insoluble"
"Chuk",14.9312774935727,1.06398023659308e-06,4.42034342414371e-06,TRUE,"Insoluble"
"Spice1",14.9296584794912,1.06499051049366e-06,4.42206468263175e-06,TRUE,"Insoluble"
"Gpr180",14.9187615359136,1.07181733375765e-06,4.44792204501217e-06,TRUE,"Insoluble"
"Fnbp4",14.9153848349153,1.07394240298592e-06,4.4542496535246e-06,TRUE,"Insoluble"
"Phf21a",14.9130054694807,1.0754425545499e-06,4.45797975126271e-06,TRUE,"Insoluble"
"Bag2",14.9093411073593,1.07775731350668e-06,4.46508055065304e-06,TRUE,"Insoluble"
"Derl1",14.9066389611117,1.07946769962996e-06,4.46967094378031e-06,TRUE,"Insoluble"
"Atad1",14.9052093217583,1.08037381111082e-06,4.47092787420094e-06,TRUE,"Insoluble"
