"GeneID","03-11-2O_young","06-10-2O_old","08-11-2O_young","13-10-2O_young","18-08-2O_old","23-05-2O_old","29-09-2O_old","30-06-2O_young"
"ENSMUSG00000001052",3278.953,3441,3258,3771.268,3421.429,3739.999,3914.376,3926.294
"ENSMUSG00000001053",762,764,747.001,1205.999,603,2008,1374.865,757
"ENSMUSG00000001054",2401.759,2771.201,3963,2861.439,2731,4857.607,2527.37,3226.313
"ENSMUSG00000001056",3700,2647,4351.003,3168.561,2807.618,3584.203,2382,4290.766
"ENSMUSG00000001062",1097.512,1082.246,1168.831,1375.991,1233.288,1364.006,1014.18,1655.236
"ENSMUSG00000001065",1309.158,1089.208,1276.29,1569.127,1277.288,1416.576,1149.302,1758.79
"ENSMUSG00000001076",3,1,3,3,6,2,4,0
"ENSMUSG00000001082",1887.696,1513.001,1827,2041,1656,2331,1898.001,2664.457
"ENSMUSG00000001089",2325.071,2321.001,2274.737,3115.999,1899,1693,2553.251,2201.906
"ENSMUSG00000001095",1,2,2,1,4,14,1,1
"ENSMUSG00000001098",3202.71,3438.001,4518.362,4193.528,3116.304,3213.293,3319.46,4139.957
"ENSMUSG00000001100",2704.878,2986.899,3075.636,2569.951,2879.45,2878.287,1961.722,3741.907
"ENSMUSG00000001103",141,43,87,207,15,34,11,134
"ENSMUSG00000001105",1829.995,2141.007,2824.422,2518.626,2578.376,3006.196,1829.555,3472.838
"ENSMUSG00000001119",15717.94,16402.903,15210.649,20552.555,14540.006,23617.697,20818.455,17425.24
"ENSMUSG00000001120",249.948,249,320.001,378,303,283,354,275.999
"ENSMUSG00000001123",922,1042.05,1552,1492.433,1175.001,1771.008,1920,1050.577
"ENSMUSG00000001127",4898.79,5760.635,4585.397,5905.155,6737.198,6103.543,5350.72,6134.83
"ENSMUSG00000001128",389.535,400,641,616,1016,878,877,902
"ENSMUSG00000001131",1254,1801,16115.417,1776,3176.01,1719,4596.94,8766.414
"ENSMUSG00000001134",326.999,425.999,500.959,368,523.077,381.966,305.191,517.668
"ENSMUSG00000001138",853,865.999,842.014,988,1017.01,1026.483,906.999,1285.794
"ENSMUSG00000001143",1105.722,1418.088,1541.539,1301.446,1396.538,1261.455,1077.15,1563.365
"ENSMUSG00000001150",2467.729,1986.713,2041.016,3043.207,1679.999,2200.406,1858.198,2795.874
"ENSMUSG00000001151",3749.367,3248.629,2730.958,4802,2057.052,4202.039,3397,3967.293
"ENSMUSG00000001155",4,1,3,2,9,9,5,2
"ENSMUSG00000001156",762,828.63,843,987.999,994.912,1178.158,1139.627,1167.186
"ENSMUSG00000001157",1127.496,1275.727,1222.266,1193.181,1339.47,1238.174,934.107,1708.413
"ENSMUSG00000001158",1321.001,1211.921,1885.999,1605,1660,1836.742,1127.668,2165.999
"ENSMUSG00000001166",1244.175,424,931.219,1922,234,323,173,1086.981
"ENSMUSG00000001168",506,151,317,825,65,67,45,532
"ENSMUSG00000001173",3902.15,3636.754,3739.852,3988.953,3801.591,3494.662,3040.693,4665.098
"ENSMUSG00000001175",17151.484,18318.634,19936.747,20542.535,20068.498,26638.095,17453.914,22870.93
"ENSMUSG00000001211",4511.754,6698.557,5562.028,5199.941,5357.059,5245.081,4275.954,5388.091
"ENSMUSG00000001225",4,1,7,5,10.809,4.083,1,22
"ENSMUSG00000001227",358,370,414.143,362,485,238,579,348
"ENSMUSG00000001228",2669.379,989,1766.31,3240.987,492.085,950.006,954.964,2592.042
"ENSMUSG00000001229",1513,1974,1727.516,1937.278,2020.055,1696.999,1531.436,1987
"ENSMUSG00000001240",929.412,1050.003,1405.047,1441.27,1646.647,1118.986,1199.582,1454.343
"ENSMUSG00000001247",1782.062,4072.366,3064.835,3146,3780.809,4751.144,2124,2570.999
"ENSMUSG00000001248",6664.421,6414.714,5075.303,7951.059,9405.223,6762.326,7518.434,7774.836
"ENSMUSG00000001249",19,28,11.999,24,46.001,67.999,25,34
"ENSMUSG00000001260",1,0,2,0,0,0,0,0
"ENSMUSG00000001270",3436.733,2386,3712.058,4457.978,2931.879,3321.037,2649.058,7363.013
"ENSMUSG00000001280",3794.926,3774.296,4090,4888,3319,4035,5503.731,4061.438
"ENSMUSG00000001281",47,104,56,65,219,187,335,115
"ENSMUSG00000001285",1118.664,1002.339,1291.84,1178.078,1169.736,1194.306,920.739,1550.941
"ENSMUSG00000001288",915,1300.471,1101.025,1236,1492,1266.001,1305,1524.001
"ENSMUSG00000001289",4834.323,4605.702,5473.6,4876.06,6671.029,7117.971,4949.875,6887.258
"ENSMUSG00000001300",1283.1,1545.1,1431.998,1506,2089.972,1017,1256.999,1117
"ENSMUSG00000001305",1002.775,737.001,1012.001,1209.028,395.94,978,1132,899.62
"ENSMUSG00000001313",1051.803,2354.796,835.279,1371.746,3506.014,2724.763,1606.334,1337.138
"ENSMUSG00000001323",1610.25,1724.766,1260.942,1252.184,1535.226,1409.885,1046.652,1591.975
"ENSMUSG00000001333",37.42,45.275,64.697,111.124,22.215,77.025,89.977,42.298
"ENSMUSG00000001334",584.958,310.775,654.98,737.079,266.857,406.501,351.536,652.834
"ENSMUSG00000001348",86,305,192.999,166.999,448.999,516.999,930,240
"ENSMUSG00000001349",1057,1297.998,2058.999,2303.434,866,1649,1029,1386.999
"ENSMUSG00000001366",1342.741,2200.641,1803,1548,2028.292,1588.119,1151.999,1691
"ENSMUSG00000001376",1442.55,1310.058,1514.772,1591.292,1204.177,1497.114,1251.014,2022.92
"ENSMUSG00000001380",1811.91,1964.42,2433.745,1772.349,1652.141,1568.727,1657.28,2381.313
"ENSMUSG00000001383",2674.857,2791.095,3617.768,2600.661,3070.572,3073.713,2305.008,3669.859
"ENSMUSG00000001403",1452.997,617.008,1549.012,1344.043,232.066,918.003,768.417,1465.259
"ENSMUSG00000001415",3522.759,4440.623,3190.8,3947.899,4208.74,3440.144,3147.175,4440.019
"ENSMUSG00000001416",9113.839,6695.33,9983.118,8452.998,5923.829,6749.391,7242.117,10388.831
"ENSMUSG00000001418",2588.142,3773.87,3600.88,2750.198,4335.978,3344.396,2695.385,3703.713
"ENSMUSG00000001419",4497.262,5094.261,5409.081,5661.519,5029.995,4429.774,5880.195,5381.987
"ENSMUSG00000001420",61.881,68.609,25.314,40.184,54.279,64.031,35.046,36.729
"ENSMUSG00000001424",5821.113,3974.811,7119.044,5715.303,3440.295,5992.996,5018.317,7764.736
"ENSMUSG00000001435",3618.018,3697.703,4355.001,4862.661,2924.371,1362.017,2016.532,4400.324
"ENSMUSG00000001436",693.999,520.894,642.999,708.054,350,638.999,749,767.998
