ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSMUSG00000055053,5112.58157354303,-0.374795103181475,0.160428721752829,-2.33620949594624,0.0194803256362414,0.110392939788601,Nfic
ENSMUSG00000055065,30514.6829830204,-0.0715697532556647,0.169139580148052,-0.423140185124132,0.672192984718853,0.855949428934018,Ddx17
ENSMUSG00000055067,555.688431098249,0.130736581042833,0.155136473420671,0.842719820556483,0.399385159363217,0.674215395886115,Smyd3
ENSMUSG00000055088,96.7372264015376,-0.348559397194416,0.449272000654482,-0.77583156013873,0.43784844678363,0.703273969268526,Or1n2
ENSMUSG00000055116,763.053440416219,0.830300313418957,0.395273935858169,2.10056934722072,0.0356787871810218,0.164790818844008,Bmal1
ENSMUSG00000055128,701.315296354433,-0.148409224648683,0.179922489722142,-0.82485088372151,0.409456254149872,0.680829571851243,Cgrrf1
ENSMUSG00000055137,364.236735188382,-0.842346715961363,0.268120179022116,-3.14167594186143,0.00167983846656872,0.0188271039466208,Sugct
ENSMUSG00000055148,2313.3474942934,-0.363316439346851,0.226326653155623,-1.60527465184153,0.108433375014508,0.334122168691267,Klf2
ENSMUSG00000055150,102.844773287078,-0.0670652316103353,0.3151471570898,-0.212806081545027,0.831478220008022,0.934288770602578,Zfp78
ENSMUSG00000055172,2685.38183936564,-0.563907024363973,0.265559565336584,-2.12346719143499,0.0337147219401455,0.159559337519122,C1ra
ENSMUSG00000055184,83.8981380118875,0.944046035539337,0.24963347895922,3.78172847438286,1.557431877966e-4,0.00300651280414331,Fam72a
ENSMUSG00000055200,532.403446307412,-0.268911874398774,0.221790117384188,-1.21246103104297,0.225335950912724,0.501942398473594,Sertad3
ENSMUSG00000055202,70.3429013765795,0.152961856180008,0.396191098477853,0.386081001738,0.699436679540418,0.870290241850673,Zfp811
ENSMUSG00000055204,7325.79025540623,0.130924505918677,0.187964635833441,0.696537970231225,0.486091986858851,0.740679768388427,Ankrd17
ENSMUSG00000055210,15.0563158594816,0.105422583007059,0.501971132262499,0.210017222567951,0.833654231124917,0.935090226449402,Foxd2
ENSMUSG00000055214,31.0571521235453,-2.19088521785344,0.569999384176116,-3.84366242960099,1.2121170895495e-4,0.00248723433893856,Pld5
ENSMUSG00000055235,266.386635005676,-0.657014170473808,0.281953482513169,-2.33022186715896,0.0197944278103536,0.111526503266402,Wdr86
